date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:51	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2025%20Mar%202016%2009:30:46%20GMT	https://api.qunitjs.com/robots.txt		(from )
10:30:51	68779/68779	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:47%20GMT	https://qunitjs.com/cookbook/	qunitjs.com/cookbook/index.html	(from )
10:30:51	12184/12184	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:47%20GMT	https://api.qunitjs.com/	api.qunitjs.com/index.html	(from )
10:30:52	85549/85549	U-----	200	untouched ('OK')	text/css	etag:W/%2256ccf585-14e2d%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1	api.qunitjs.com/jquery-wp-content/themes/jquery/css/base3860.css	(from https://api.qunitjs.com/)
10:30:52	18094/18094	U-----	200	untouched ('')	image/x-icon	etag:W/%225536b010-46ae%22	http://api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/i/favicon.ico	api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/i/favicon.ico	(from https://api.qunitjs.com/)
10:30:52	120/120	U-----	200	untouched ('OK')	text/css	etag:W/%2256ccf585-78%22	http://api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/style.css	api.qunitjs.com/jquery-wp-content/themes/api.qunitjs.com/style.css	(from https://api.qunitjs.com/)
10:30:52	5755/5755	U-----	200	untouched ('')	application/javascript	etag:W/%2254a6ac1a-167b%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.8.3.min.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/modernizr.custom.2.8.3.min.js	(from https://api.qunitjs.com/)
10:30:52	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:30:47%20GMT	http://api.qunitjs.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapi.qunitjs.com%2F	api.qunitjs.com/wp-json/oembed/1.0/embed.17225.delayed	(from https://api.qunitjs.com/)
10:30:53	31248/31248	U-----	200	untouched ('')	application/javascript	etag:W/%225428852c-7a10%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/plugins.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/plugins.js	(from https://api.qunitjs.com/)
10:30:53	9995/9995	U-----	200	untouched ('')	application/javascript	etag:W/%225519e175-270b%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/js/main.js	api.qunitjs.com/jquery-wp-content/themes/jquery/js/main.js	(from https://api.qunitjs.com/)
10:30:53	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:30:48%20GMT	http://api.qunitjs.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapi.qunitjs.com%2F&format=xml	api.qunitjs.com/wp-json/oembed/1.0/embed751b	(from https://api.qunitjs.com/)
10:30:55	10739/10739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202016%2009:30:49%20GMT	http://api.qunitjs.com/wp-json/	api.qunitjs.com/wp-json/index.html	(from https://api.qunitjs.com/)
10:30:56	18357/18357	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:50%20GMT	http://api.qunitjs.com/category/assert/	api.qunitjs.com/category/assert/index.html	(from https://api.qunitjs.com/)
10:30:56	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp1.z)')	text/plain	date:Fri,%2025%20Mar%202016%2009:30:50%20GMT	https://qunitjs.com/robots.txt		(from )
10:30:56	14169/14169	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:51%20GMT	http://api.qunitjs.com/category/async-control/	api.qunitjs.com/category/async-control/index.html	(from https://api.qunitjs.com/)
10:30:56	33855/33855	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:50%20GMT	https://api.qunitjs.com/category/all/	api.qunitjs.com/category/all/index.html	(from https://api.qunitjs.com/)
10:30:57	10170/10170	U-----	200	untouched ('')	image/jpeg	etag:%22545cabe1-27ba%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-instant-testing.jpg	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-instant-testing.jpg	(from https://api.qunitjs.com/)
10:30:57	14871/14871	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:52%20GMT	http://api.qunitjs.com/category/callbacks/	api.qunitjs.com/category/callbacks/index.html	(from https://api.qunitjs.com/)
10:30:58	15354/15354	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:52%20GMT	http://api.qunitjs.com/category/config/	api.qunitjs.com/category/config/index.html	(from https://api.qunitjs.com/)
10:30:58	13926/13926	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2025%20Mar%202016%2009:30:52%20GMT	http://api.qunitjs.com/category/test/	api.qunitjs.com/category/test/index.html	(from https://api.qunitjs.com/)
10:30:58	8677/8677	U-----	200	untouched ('')	image/gif	etag:%22545cabe1-21e5%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-testable-javascript.gif	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-testable-javascript.gif	(from https://api.qunitjs.com/)
10:30:58	15027/15027	U-----	200	untouched ('')	image/png	etag:%22545cabe1-3ab3%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-tddjs.png	api.qunitjs.com/jquery-wp-content/themes/jquery/content/books/qunit-tddjs.png	(from https://api.qunitjs.com/)
10:30:58	70/70	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp2.z)')	text/plain	date:Fri,%2025%20Mar%202016%2009:30:53%20GMT	http://api.qunitjs.com/robots.txt		(from https://api.qunitjs.com/)
10:30:58	1078/1078	U-----	200	untouched ('')	application/javascript	etag:W/%22564cce50-436%22	http://api.qunitjs.com/wp-includes/js/comment-reply.min.js?ver=4.4	api.qunitjs.com/wp-includes/js/comment-reply.mineb11.js	(from https://api.qunitjs.com/)
10:30:58	1518/1518	U-----	200	untouched ('')	application/javascript	etag:W/%225660a355-5ee%22	http://api.qunitjs.com/wp-includes/js/wp-embed.min.js?ver=4.4	api.qunitjs.com/wp-includes/js/wp-embed.mineb11.js	(from https://api.qunitjs.com/)
10:31:02	25395/25395	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%225428852c-6333%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.eot?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.eot	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:02	25395/25395	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%225428852c-6333%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.eot?	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfontd41d.eot	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:02	29380/29380	U-----	200	untouched ('')	application/font-woff	etag:W/%225428852c-72c4%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.woff?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.woff	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	55096/55096	U-----	200	untouched ('')	application/octet-stream	etag:%225428852c-d738%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont.ttf?v=3.0.2	api.qunitjs.com/jquery-wp-content/themes/jquery/css/fonts/fontawesome-webfont994f.ttf	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	5521/5521	U-----	200	untouched ('')	image/png	etag:%2254454444-1591%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-global-nav.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-global-nav.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	97643/97643	U-----	200	untouched ('')	image/jpeg	etag:%2254454444-17d6b%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-body-learn.jpg	api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-body-learn.jpg	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	5968/5968	U-----	200	untouched ('')	image/jpeg	etag:%2254454444-1750%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-footer-noise.jpg	api.qunitjs.com/jquery-wp-content/themes/jquery/images/bg-footer-noise.jpg	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	8005/8005	U-----	200	untouched ('')	image/png	etag:%2254454444-1f45%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-nav-icons.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/jq-nav-icons.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	4496/4496	U-----	200	untouched ('')	image/png	etag:%2254454444-1190%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-ui.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-ui.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:03	4542/4542	U-----	200	untouched ('')	image/png	etag:%2254454444-11be%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:04	4062/4062	U-----	200	untouched ('')	image/png	etag:%2254454444-fde%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-mobile.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-mobile.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:04	6303/6303	U-----	200	untouched ('')	image/png	etag:%2254454444-189f%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-sizzle.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-sizzle.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:04	4440/4440	U-----	200	untouched ('')	image/png	etag:%2254454444-1158%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-qunit.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-qunit.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
10:31:04	3718/3718	U-----	200	untouched ('')	image/png	etag:%2254454444-e86%22	http://api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-foundation.png	api.qunitjs.com/jquery-wp-content/themes/jquery/images/logo-jquery-foundation.png	(from http://api.qunitjs.com/jquery-wp-content/themes/jquery/css/base.css?v=1)
